model_region,activity,value
BE31,HEIL,6657.27099334318
BE31,HEIH,10166.295253294
BE31,SCOW,70.5355131833285
BE31,HEIR,193.506112865988
BE31,CAMF,97.9437423664436
BE31,CAFF,476.39719347571
BE31,CAMR,92.5433766892787
BE31,CAFR,39.3884960223149
BE31,PIGF,3.21795062887924
BE31,SOWS,314.449127994629
BE31,SHGM,435.734052210297
BE31,SHGF,109.152244049577
BE31,HENS,143815.009347003
BE31,POUF,3111.99513844424
BE31,OANI,7749367.35236971
BE32,SWHE,14.3016110992888
BE32,RYEM,7289.86526075587
BE32,BARL,41.953966679671
BE32,OATS,707.748142599182
BE32,CORN,455.989887210126
BE32,OCER,297.214593489796
BE32,RAPE,1538.13778385205
BE32,OOIL,82654.6050646915
BE32,OIND,412083.499703731
BE32,NURS,713177.89446516
BE32,FLOW,9785239.35662809
BE32,OCRO,420616.178680732
BE32,MAIF,43.1642745076718
BE32,ROOF,2220.69834411873
BE32,OFAR,175.5433981104
BE32,GRAE,9.37847069571597
BE32,GRAI,12.6392991115499
BE32,PULS,1110.53062241902
BE32,POTA,707.422759340977
BE32,SUGB,172.902419615263
BE32,TEXT,3506.52317240873
BE32,TOMA,8470994.11968698
BE32,OVEG,2703.95077944068
BE32,APPL,136157.749984766
BE32,OFRU,121194.345334036
BE32,TAGR,6512194.18415709
BE32,TWIN,645114.807708558
BE32,FALL,321.011726485095
BE32,VSET,67.2251010749993
BE32,DCOL,220.045156892419
BE32,DCOH,320.178744010446
BE32,BULL,116.617801177694
BE32,BULH,176.199852624536
BE32,HEIL,984.186597715696
BE32,HEIH,1490.69593521974
BE32,SCOW,13.2351056635652
BE32,HEIR,28.0205740145011
BE32,CAMF,16.743373256183
BE32,CAFF,82.9649867272315
BE32,CAMR,27.9284904168962
BE32,CAFR,11.8984331973102
BE32,PIGF,0.555048596751803
BE32,SOWS,63.8315045711671
BE32,SHGM,87.713337060798
BE32,SHGF,22.5082946385345
BE32,HENS,33714.2532741731
BE32,POUF,793.520095522711
BE32,OANI,1276219.80478363
BE33,SWHE,35.1184282976032
BE33,RYEM,5386.66778351496
BE33,BARL,113.666199791467
BE33,OATS,1646.73207795115
BE33,CORN,3145.47864184164
BE33,OCER,727.562141924161
BE33,RAPE,1362.69928525922
BE33,OOIL,9713.34094663617
BE33,OIND,590749.155997242
BE33,NURS,1752311.48466894
BE33,FLOW,15398126.028338
BE33,OCRO,712360.220968037
BE33,MAIF,89.6614612284155
BE33,ROOF,4414.29210722649
BE33,OFAR,149.425732566484
BE33,GRAE,7.44759273705786
BE33,GRAI,9.09016222172745
BE33,PULS,1742.36581609674
BE33,POTA,2643.86972180208
BE33,SUGB,665.606414412707
BE33,TEXT,8559.832016094
BE33,TOBA,6438698.07324964
BE33,TOMA,20773432.4371696
BE33,OVEG,6618.95741136532
BE33,APPL,334831.90775824
BE33,OFRU,297405.798493005
BE33,TAGR,15870579.7665281
BE33,TWIN,1588167.60886241
BE33,FALL,272510.86733315
BE33,VSET,144.993273711696
BE33,DCOL,182.433011711474
BE33,DCOH,267.39385719654
BE33,BULL,136.144950049618
BE33,BULH,206.713081023379
BE33,HEIL,1565.62577560899
BE33,HEIH,2366.01331882012
BE33,SCOW,21.5522562259245
BE33,HEIR,35.0977602391572
BE33,CAMF,20.8862330926364
BE33,CAFF,103.930084365685
BE33,CAMR,36.7781533005893
BE33,CAFR,15.6570532273333
BE33,PIGF,0.769331228241227
BE33,SOWS,80.8097158843505
BE33,SHGM,82.5541122600013
BE33,SHGF,21.1842125900365
BE33,HENS,37133.1254702228
BE33,POUF,872.483495850122
BE33,OANI,1547597.66497895
BE34,SWHE,78.2344137358866
BE34,RYEM,4075.84095965622
BE34,BARL,126.144275187839
BE34,OATS,153.796874374448
BE34,CORN,11370.7136517934
BE34,OCER,604.742098339171
BE34,RAPE,5594.75722766864
BE34,OIND,21487817.65612
BE34,NURS,2233744.4497908
BE34,FLOW,49382491.0427307
BE34,MAIF,33.9624686445076
BE34,ROOF,7449.46557127857
BE34,OFAR,162.216279043666
BE34,GRAE,5.76479895187725
BE34,GRAI,6.94581158787342
BE34,PULS,659.166080192612
BE34,POTA,13420.5583334998
BE34,SUGB,46540.5863960684
BE34,TEXT,10812.9873152896
BE34,TOMA,26438901.423669
BE34,OVEG,8443.25772423246
BE34,APPL,427819.739018432
BE34,OFRU,386644.150687703
BE34,TAGR,20321364.3151405
BE34,TWIN,2018139.59936461
BE34,FALL,1222383.67594952
BE34,VSET,914.71200647764
