model_region,BULF,BULH,BULL,CAFF,CAFR,CALV,CAMF,CAMR,CATA,DCOH,DCOL,DCOW,GOAT,HEIF,HEIH,HEIL,HEIR,HENS,PIGF,PIGS,POUF,POUL,SCOW,SHEP,SHGF,SHGM,SHGT,SOWS
DEA1,9.23234549070702,5.62870107600775,3.60364441469926,0.886782312307561,24.4429555712892,46.5890751143005,2.67780038408947,18.5815368466143,247.611037607589,57.0672708300255,57.0672708300256,114.134541660051,,4.70912938246033,3.49417307404806,1.21495630841227,62.629143507685,0.532248379531337,290.025388194115,436.002231443771,1.21615551761916,1.7484038971505,10.3168024523846,,7.78148092248471,15.2246060026996,23.0060869251843,34.4057925544141
DEA2,5.33646443547051,3.28144634460788,2.05501809086263,1.44156642735396,30.9687130036858,59.8141130416383,4.20492400024386,23.1989096103546,228.842506900557,48.6479454893643,48.6479454893644,97.2958909787287,,4.46175023655457,3.09048793743308,1.37126229912149,49.2662671601903,0.298043929807813,20.8202583828581,,0.565141575321584,0.863185505129398,12.6680210479751,,9.71167244741258,19.0017580486148,28.7134304960273,
DEA3,107.941696995895,69.2900578267265,38.6516391691686,1.59103121943898,43.8553342241039,83.589702138949,4.804406924224,33.3389297711821,366.544712453772,50.2114468460377,50.2114468460377,100.422893692075,,4.99157640685382,3.82583194584638,1.16574446100744,58.0873376023434,1.29178603659491,2984.01270798747,4465.89187478853,3.01952124762568,4.31130728422059,11.5115056176548,,9.85297800043688,19.2762143848528,29.1291923852897,349.404235638594
DEA4,20.2611586352494,12.1585533600294,8.10260527522004,1.33524965850406,36.8046699115328,70.1509065981106,4.03202846125351,27.9789585668201,182.656951462569,22.6800371562786,22.6800371562786,45.3600743125571,,2.85422377672958,2.03380050379768,0.820423272931898,33.5107356976646,1.30878269477584,1044.53008514964,1446.86241198243,3.03797465154737,4.34675734632321,10.5198524422573,,13.4865930828747,26.3852414568315,39.8718345397062,94.8446254179214
DEA5,30.554945091438,18.8542954191506,11.7006496722874,1.23457616567469,26.147384591644,50.6627727313551,3.60115056170083,19.6796614123356,210.946510239809,30.7321955133181,30.7321955133181,61.4643910266361,,4.82272215812561,3.33832193688305,1.48440022124256,42.9558651167045,0.599907964243692,482.849032327914,735.518650486302,1.34569028122208,1.94559824546578,20.4858141155497,,14.748491562974,28.8542055290628,43.6026970920367,59.5758347747364
DEB1,8.4330712051645,5.7823956101176,2.6506755950469,0.634483680700802,27.6919443858521,51.295990233334,1.91736031234178,21.0522018544393,137.622742180153,15.2339251149115,15.2339251149115,30.4678502298231,,4.5071143810144,3.45525748708475,1.05185689392966,23.813870127389,0.174246887000938,32.1898290671024,,0.414052732519936,0.588299619520875,19.1048460034281,,9.03358292134817,17.6651806777464,26.6987635990946,
DEB2,14.3199274958634,9.02459498562226,5.29533251024117,0.387937648228129,19.6071969315202,36.0334975204805,1.13242066509705,14.9059422756352,181.149253456699,35.9824618155167,35.9824618155167,71.9649236310333,,3.97455956489205,2.79006003603748,1.18449952885457,42.0447524926014,0.0899505348282915,61.0554208331405,83.3687891068759,0.196787700019914,0.286738234848205,12.8115927518283,,9.15397540998944,17.899309118373,27.0532845283625,5.25494228910336
DEB3,4.4556076612099,2.88938843572562,1.56621922548429,0.593028444128509,27.7001088184968,51.0823621690416,1.73110937596174,21.0581155304545,82.92512429563,4.97465466548016,4.97465466548016,9.94930933096032,,1.24703748846001,0.895523464388725,0.351514024071285,8.58536089532278,0.376574534323969,21.5611320801436,55.9261261664935,0.831507482826395,1.20808201715036,7.6054467506354,,10.0977697359233,19.7447359984002,29.8425057343235,8.10129437247961
DEC0,4.98192503908403,3.41586356043289,1.56606147865115,0.236779408261644,8.1336301730134,15.2589524246631,0.705981199017641,6.18256164437042,51.783186477739,7.00073449524167,7.00073449524167,14.0014689904833,,1.86502246600164,1.42956763675991,0.435454829241738,9.83211907524506,0.054180081664467,2.64724885601083,3.35886623732193,0.10994034175445,0.164120423418917,5.84369848226179,,2.27931416330527,4.44478257244807,6.72409673575335,0.167204061327549
DEE0,15.6591225631026,9.39629043032022,6.26283213278242,1.32218133845246,132.479416559334,236.273886249882,3.82411215157174,98.6481762005237,481.370185258528,59.817451252267,59.817451252267,119.634902504534,,6.17333259780278,4.27568650586814,1.89764609193465,72.8595083425389,4.65743008924868,738.605584614445,1518.09818958208,10.6766223708206,15.3340524600693,30.7694330006679,,29.3684285059117,57.3951338572891,86.7635623632008,183.782790441865
DEF0,79.3235155342502,47.6001637288656,31.7233518053847,3.7771649866884,112.971463429022,214.047887053895,11.4164260152853,85.8828326228988,1000.31102899953,197.317057808955,197.317057808955,394.634115617911,,23.3919010769484,16.9611306284349,6.43077044851349,249.093061274449,0.919952110980695,984.839242791878,1482.78534707024,2.21641037617836,3.13636248715905,39.8205484420736,,76.2674733771698,149.28313949483,225.550612872,117.405077791653
DEG0,21.0097056796043,13.1101182193346,7.89958746026972,1.5236725985329,82.8046005426406,151.649544486252,4.37200412921744,62.9492672158614,382.910546863463,51.6277483819291,51.6277483819291,103.255496763858,,3.04712641388774,2.12986995841526,0.917256455472479,65.3175798060912,1.42803640309474,469.31164172473,936.850110188614,3.38858796796699,4.81662437106172,38.6310937137694,,50.2768145072238,98.3970154544996,148.673829961723,110.240395419544
