model_region,FCER,FCOM,FEED,FGRA,FMAI,FMIL,FOFA,FOTH,FPRO,FROO,FSGM,FSTR
ITC2,19651.793817264566,1999.9903477511966,7864.871257097801,189407.16933956827,5559.706762209622,4903.128216189606,349.8391586145366,4590.507298804422,12545.313861616201,155.0097313899928,50.4920795179629,488.39314726674917
ITC3,21486.41730581743,1649.2165825221596,9441.45773320713,200781.94604983853,4393.317368204285,4960.814656040897,5501.66529772116,4340.456881182386,13074.649835020164,490.8893616769804,58.29863927075459,155.2138753587295
ITF1,54139.55102118679,911.4663725678046,20909.879707884575,152672.89054810037,3909.8850993433057,5072.307777982278,41340.31414346733,4363.853322988939,24325.74227340682,2408.473001574575,51.28685429283169,1080.8892226499022
ITF2,55064.790412273745,1112.0338176259731,18874.44533563547,65572.52271971026,23341.24567978544,4979.145248074919,53467.37919067271,4577.710902202339,27358.896841886322,3790.5690765001236,41.87505030898328,1169.368728343009
ITF4,56187.63281864005,901.0137452703652,19684.413768230977,34763.98129288144,6228.423844211333,5078.7961700248625,99952.9105301359,4794.213459943113,28176.79411443974,3930.251037600312,53.95049947689026,1209.751667457838
ITF5,55685.04995610504,1502.0668069074875,18744.73856580918,67.06139451310399,12158.087127867808,4996.3077014664095,100890.71172062877,4760.1391416402685,24988.94352013672,12712.108623664946,63.29808113537989,1250.4874443941037
ITF6,52695.877859169406,937.9008525568262,19295.01848271782,143383.74220700425,13510.435784377656,4999.477089813477,29843.05934905627,4512.715096127886,25243.79948344935,2010.5977492939185,63.25750780267569,1131.8643080300649
ITH3,46849.78565743525,1330.8587520392095,21250.747661813813,86124.09386462515,77411.81372649543,4959.582305067802,22905.175089660373,4841.038824566139,52101.989181156765,1811.939548094785,26.725370836649795,1697.2846696438746
ITH4,51266.43897207311,1577.8503284388662,18693.092302899728,108615.1912486154,46238.96736224904,4936.019058018139,31868.17199771287,4347.964435648461,28797.9494434608,460.41538850230506,26.49239749093124,955.9215221998628
ITI1,53112.70953835317,730.3409310138725,20364.670827911876,63355.481394519775,18178.903789800577,5114.244123201925,90237.84076845871,4357.853758732492,23028.256670564035,248.1998160947302,65.28500987469192,1102.7591590704687
ITI2,49041.46040802995,875.5718683085632,20246.58167631298,57092.05404519961,30282.38781294333,5052.948499432536,95187.91932395111,4159.046240720567,27093.97510465932,470.751762655622,45.183735771425404,1065.4484082058768
LU00,44333.16626939828,1394.5577320672887,19959.97108720292,93873.10827349633,59433.08578934461,4855.626159646405,18336.572195304892,24479.956392708165,23272.727638258246,725.6687538180217,28.760607681099582,842.4761070462451
LV00,53358.793943851684,3472.905644032952,18618.813101205225,213280.1959095324,34314.89183430413,4284.759693821296,119976.90945334313,3736.2177858288665,30972.246452550673,388.88974672870904,169.31365211200082,6314.632398384213
MT00,86768.5853369756,545.4170519002063,92623.25832467945,135.696394629383,135.696394629383,7286.467734566426,29485.150671573207,3437.8287591170583,109100.64278910418,6414.761150327429,154.65809124247437,319.0083707845903
