,count,mean,min,max,source
p_temp3dim,4,0.75,0.0,1.03,capdis.gms
p_levlstde,1,0.5,0.5,0.5,capdis.gms
P_DATA_FSS,3,0.0,0.0,0.0,farmtype/frm_sets.gms
p_priFertDist,16,0.8125,0.0,5.0,supply/set_fert_priors.gms
p_priMinRate,2,2.0,1.0,3.0,fert/ferttrm_years.gms
p_manureShare,5,0.0,0.0,0.0,fert/ferttrm_years.gms
p_netPutQuant,5,0.0,0.0,0.0,fert/ferttrm_years.gms
p_ifaFertDataCorrFact,6,0.0,0.0,0.0,fert/ferttrm_years.gms
p_minShareMinFertCorr,5,0.0,0.0,0.0,fert/ferttrm_years.gms
p_stepWeights,1,0.55,0.55,0.55,capmod/define_stepWeights.gms
p_FileExist,35,1.0,1.0,1.0,capmod/fileExist.gms
p_itemsInIters,5,0.2,0.0,1.0,manuremarket/simu_manure_market.gms
p_ItemsInIters,2,0.0,0.0,0.0,capmod/list_iteration_changes.gms
p_pmpFeedInpCoeff,4,0.0,0.0,0.0,supply/pmp_terms/define_const_pmp_param.gms
p_pmpCnst,2,0.0,0.0,0.0,supply/prep_cal.gms
p_pmpQuadPact,2,0.0,0.0,0.0,supply/pmp_terms/forecast_activity_slopes.gms
p_pmpQuadTechn,1,0.0,0.0,0.0,capmod/load_sim_ini_gdx.gms
p_pmpWater,2,0.0,0.0,0.0,supply/pmp_terms/define_for_water_module.gms
p_pmpQuadLandTypes,1,0.0,0.0,0.0,capmod/load_sim_ini_gdx.gms
P_PMPLANDSUPPLYTAIL,1,0.0,0.0,0.0,capmod/load_sim_ini_gdx.gms
p_pmpCnstLandTypes,1,0.0,0.0,0.0,capmod/load_sim_ini_gdx.gms
p_iterChg,2,1.0,1.0,1.0,capmod.gms
p_lowerBounds,1,0.0,0.0,0.0,capmod.gms
p_upperBounds,1,0.0,0.0,0.0,capmod.gms
p_storeLevel,1,0.0,0.0,0.0,capmod.gms
p_premModifFact,2,0.0,0.0,0.0,policy/del_policy.gms
p_regioData,288,6.944444444444444e-13,0.0,1e-10,capreg/map_from_regio.gms
p_AgriProd,711,11.487189873417721,0.0,1942.0,eurostat_raw.gms
p_processHilda,3,0.10000000000000002,0.1,0.1,fao/fao_land_hilda.gms
p_maxYearlyChange,14,9.714285714285714,1.0,30.0,capreg/check_and_cor_regio_rev2022.gms
p_checkRegioData,4,0.0,0.0,0.0,capreg/check_and_cor_regio_rev2022.gms
p_CLCRegio,3,0.0,0.0,0.0,capreg.gms
p_rr,70,10.916714285714285,0.0,100.0,supply/prep_sim_luc.gms
p_objFac,7,1428574.507157143,0.0001,10000000.0,capreg/cons_levls.gms
p_avgdat,8,0.0,0.0,0.0,global/time_avg_flex.gms
p_priorlanduse,1,0.01,0.01,0.01,capreg/cons_levls.gms
p_outliers,2,0.0,0.0,0.0,capreg/cons_levls_tj.gms
p_priorActLevl,8,2.125,1.0,10.0,capreg/cons_levls_tj.gms
p_animalYieldRelation,2,1.0,1.0,1.0,capreg/cons_yields.gms
p_landUseScaleFact,2,0.0,0.0,0.0,capreg/merge_CLC_LUCAS.gms
p_nObs,2,0.0,0.0,0.0,water_database.gms
p_sumY,5,0.0,0.0,0.0,water_database.gms
p_sumX,5,0.0,0.0,0.0,water_database.gms
p_sumZ,2,0.0,0.0,0.0,water_database.gms
p_sumXX,5,0.0,0.0,0.0,water_database.gms
p_sumYY,2,0.0,0.0,0.0,water_database.gms
p_sumXY,5,0.0,0.0,0.0,water_database.gms
p_sumZZ,2,0.0,0.0,0.0,water_database.gms
p_sumYZ,2,0.0,0.0,0.0,water_database.gms
p_sumXZ,2,0.0,0.0,0.0,water_database.gms
p_X1,2,0.0,0.0,0.0,water_database.gms
p_X2,2,0.0,0.0,0.0,water_database.gms
p_Z1,2,0.0,0.0,0.0,water_database.gms
p_Z2,2,0.0,0.0,0.0,water_database.gms
p_slope,2,0.0,0.0,0.0,water_database.gms
p_slopeZ,2,0.0,0.0,0.0,water_database.gms
p_R2,2,0.0,0.0,0.0,water_database.gms
p_const,2,0.0,0.0,0.0,water_database.gms
p_seExpert,2,0.0,0.0,0.0,capreg.gms
p_emisPerProdDefInput,1,0.0,0.0,0.0,capreg.gms
P_LowLim,2,0.7,0.5,0.9,captrd/adjust_to_biof_supports.gms
P_PrdAdj,2,1.0,1.0,1.0,captrd/adjust_to_biof_supports.gms
P_UppLim,1,1.2,1.2,1.2,captrd/adjust_to_biof_supports.gms
p_cocoSupport,1,7.0,7.0,7.0,captrd/define_stats_and_supports.gms
p_coefHFCS,2,0.55,0.5,0.6,coco/coco2_collect.gms
p_exTrapMinMax,3,0.75,0.75,0.75,captrd.gms
p_longrunInfo,12,0.0,0.0,0.0,captrd/longrun_supports.gms
P_DATA,3,390.8333333333333,0.0,631.0,captrd/prep_data_for_estimation.gms
p_natExpert,1,0.0,0.0,0.0,captrd/national_supports.gms
p_mrkbalee_Data,1,0.0,0.0,0.0,captrd/sets_captrd.gms
p_activateStep,2,1.0,1.0,1.0,captrd.gms
p_resultCopy,2,0.0,0.0,0.0,captrdfrm.gms
p_cesElasInt,6,2.25,0.5,4.0,cgemrk/bev_parameters.gms
p_cesElasVA,1,0.3,0.3,0.3,cgemrk/bev_parameters.gms
p_cesElas,1,0.1,0.1,0.1,cgemrk/bev_parameters.gms
p_CetElasPrimFac,4,0.3875,0.1,0.7,cgemrk/bev_parameters.gms
p_distShare,1,1.0,1.0,1.0,cgemrk/map_data.gms
p_inputShare,3,0.0,0.0,0.0,cgemrk/map_data.gms
p_useShareDirect,1,0.0,0.0,0.0,cgemrk/map_data.gms
p_exoInc,1,0.0,0.0,0.0,cgemrk/map_data.gms
p_emptyDays,4,35.5,7.0,60.0,coco/coco1_anim.gms
p_Upplim,2,0.0,0.0,0.0,coco/coco1_crops.gms
p_Lowlim,1,0.0,0.0,0.0,coco/coco1_anim.gms
