name,desc,source
burn_factors,factors to calculate the emissions of burning,envind/lulucf_carbon_decl.gms
manag,"land management activities such as tillage, overgrazing etc.",envind/lulucf_carbon_decl.gms
add_manag,additional land management concerning catch crops,envind/lulucf_carbon_decl.gms
input,"soil inputs like crop residues, manure, fertilizer etc.",envind/lulucf_carbon_decl.gms
tot_unit,total or per unit are ways to express LULUCF GHG effects in output,envind/lulucf_carbon_decl.gms
burnItem_row,burn items of UNFCCC to calculate burning shares,envind/lulucf_carbon_decl.gms
mainItem_row,areas to calculate burning shares,envind/lulucf_carbon_decl.gms
allMainitem,areas to calculate burning shares,envind/lulucf_carbon_decl.gms
mainHead,burning items in UNFCCC and CAPRI,envind/lulucf_carbon_decl.gms
country_ipcc,Countries from IPCC's inventories,envind/mod_leach.gms
map_act,Mapping between IPCC's animalsIPCC activities and Capri's animalsIPCC activities,envind/mod_leach.gms
EMTYPE,Origin of emissions,envind/sets_ammo.gms
NemiFact,Factors used to calculate N emissions,envind/sets_ammo.gms
ALLTYPE,Technology characteristics relevant for emmissions,envind/sets_ammo.gms
atModel,Animal types,envind/sets_ammo.gms
StorType,Type of manure storage construction,envind/sets_ammo.gms
source1,land use domains from the Eurostat LUCAS land cover data,eurostat_raw.gms
number,Ensure that stuff such as years are ordered,fao/do_trade_consolidation_for_one_group.gms
Type,Type of results reported on result array,fao/do_trade_consolidation_for_one_group.gms
