model_region,activity,item,value
AT31,BULL,DRMX,-10.5361636034033
AT31,BULL,DAYS,148.593811650802
AT31,BULH,ENNE,67.9572367083083
AT31,BULH,CRPR,1.39713527457591
AT31,BULH,DRMN,6.99985334336842
AT31,BULH,DRMX,-10.4997800150526
AT31,BULH,DAYS,252.384562011225
AT31,HEIL,ENNE,52.7629754698922
AT31,HEIL,CRPR,1.02201627091464
AT31,HEIL,DRMN,7.62086541397031
AT31,HEIL,DRMX,-11.4312981209555
AT31,HEIL,DAYS,196.329889499032
AT31,HEIH,ENNE,56.5776644016005
AT31,HEIH,CRPR,1.12459115694959
AT31,HEIH,DRMN,8.72613079705983
AT31,HEIH,DRMX,-13.0891961955897
AT31,HEIH,DAYS,396.100133969971
AT31,SCOW,ENNE,62.5291747796548
AT31,SCOW,CRPR,1.24309155835492
AT31,SCOW,DRMN,10.8913853682364
AT31,SCOW,DRMX,-13.0696624418837
AT31,SCOW,DAYS,365.0
AT31,HEIR,ENNE,38.205783651771
AT31,HEIR,CRPR,0.759411238581971
AT31,HEIR,DRMN,8.29047706207799
AT31,HEIR,DRMX,-12.435715593117
AT31,HEIR,DAYS,604.714326005589
AT31,CAMF,ENNE,25.9760882444639
AT31,CAMF,CRPR,0.500433620626156
AT31,CAMF,DRMN,2.73634996895675
AT31,CAMF,DRMX,-4.10452495343513
AT31,CAMF,DAYS,127.502658169532
AT31,CAFF,ENNE,27.3571263345723
AT31,CAFF,CRPR,0.526569516814217
AT31,CAFF,DRMN,2.7399105100197
AT31,CAFF,DRMX,-4.10986576502955
AT31,CAFF,DAYS,127.79160132437
AT31,CAMR,ENNE,25.2504926089396
AT31,CAMR,CRPR,0.495079600225003
AT31,CAMR,DRMN,3.36562315068493
AT31,CAMR,DRMX,-5.0484347260274
AT31,CAMR,DAYS,365.0
AT31,CAFR,ENNE,24.6080331954055
AT31,CAFR,CRPR,0.484034896914988
AT31,CAFR,DRMN,3.27000123287671
AT31,CAFR,DRMX,-4.90500184931507
AT31,CAFR,DAYS,365.0
AT31,PIGF,ENNE,19.5839274319185
AT31,PIGF,CRPR,0.477935465802136
AT31,PIGF,DRMN,2.30905135485982
AT31,PIGF,DRMX,-2.77086162583178
AT31,PIGF,DAYS,155.955821096003
AT31,SOWS,ENNE,30.7907566233835
AT31,SOWS,CRPR,0.736614352952267
AT31,SOWS,DRMN,3.59415602689463
AT31,SOWS,DRMX,-4.31298723227356
AT31,SOWS,DAYS,365.0
AT31,SHGM,ENNE,6.86196650651354
AT31,SHGM,CRPR,0.138140045608262
AT31,SHGM,DRMN,1.79174016968616
AT31,SHGM,DRMX,-2.68761025452924
AT31,SHGM,DAYS,365.0
AT31,SHGF,ENNE,2.96425643995129
AT31,SHGF,CRPR,0.060462158481823
AT31,SHGF,DRMN,0.444669836716547
AT31,SHGF,DRMX,-0.667004755074821
AT31,SHGF,DAYS,274.127161957923
AT31,HENS,ENNE,842.595080504559
AT31,HENS,CRPR,18.0902580089726
AT31,HENS,DRMN,84.1750390346004
AT31,HENS,DRMX,-157.828198189876
AT31,HENS,DAYS,365.0
AT31,POUF,ENNE,919.343792298
AT31,POUF,CRPR,21.7826999251117
AT31,POUF,DRMN,74.3547477753832
AT31,POUF,DRMX,-111.532121663075
AT31,POUF,DAYS,55.2839962723273
AT31,DCOW,ENNE,118.531898267218
AT31,DCOW,CRPR,2.51427036334515
AT31,DCOW,DRMN,16.82663318922
AT31,DCOW,DRMX,-20.191959827064
AT31,DCOW,DAYS,365.0
AT31,BULF,ENNE,128.959195984805
AT31,BULF,CRPR,2.61373612665265
AT31,BULF,DRMN,14.362354025686
AT31,BULF,DRMX,-21.543531038529
AT31,BULF,DAYS,200.489186831015
AT31,HEIF,ENNE,87.8458389364145
AT31,HEIF,CRPR,1.72461520793641
AT31,HEIF,DRMN,13.1334113092453
AT31,HEIF,DRMX,-19.7001169638679
AT31,HEIF,DAYS,296.215011734595
AT31,CATA,ENNE,96.9764805258477
AT31,CATA,CRPR,2.00130667370282
AT31,CATA,DRMN,13.6597312687573
AT31,CATA,DRMX,-17.8627858282214
AT31,BEFM,ENNE,105.522662343083
AT31,BEFM,CRPR,2.11917968179166
AT31,BEFM,DRMN,13.9064049108171
AT31,BEFM,DRMX,-19.562666602806
AT31,PKPL,ENNE,147.761991393578
AT31,PKPL,CRPR,3.55901655591367
AT31,PKPL,DRMN,16.2133325016959
AT31,PKPL,DRMX,-20.6741377372577
AT32,DCOL,ENNE,91.2222873772123
AT32,DCOL,CRPR,2.06795049087854
AT32,DCOL,DRMN,15.107556679577
AT32,DCOL,DRMX,-18.1290680154924
AT32,DCOL,DAYS,365.0
AT32,DCOH,ENNE,119.387730067551
AT32,DCOH,CRPR,2.72259267945196
AT32,DCOH,DRMN,17.549713415382
AT32,DCOH,DRMX,-21.0596560984584
AT32,DCOH,DAYS,365.0
AT32,BULL,ENNE,46.3562264330875
AT32,BULL,CRPR,1.04987299762463
AT32,BULL,DRMN,7.02817850491753
AT32,BULL,DRMX,-10.5422677573763
AT32,BULL,DAYS,208.932186230925
AT32,BULH,ENNE,49.1366377339301
AT32,BULH,CRPR,1.08838721774598
AT32,BULH,DRMN,7.95454943867201
AT32,BULH,DRMX,-11.931824158008
AT32,BULH,DAYS,427.33867555306
AT32,HEIL,ENNE,41.6052413006872
AT32,HEIL,CRPR,0.951077472229186
AT32,HEIL,DRMN,7.62131521789896
AT32,HEIL,DRMX,-11.4319728268484
AT32,HEIL,DAYS,316.533747933768
AT32,HEIH,ENNE,47.3429225396546
AT32,HEIH,CRPR,1.08390549296175
AT32,HEIH,DRMN,8.7265882041263
AT32,HEIH,DRMX,-13.0898823061895
AT32,HEIH,DAYS,552.830498776398
AT32,SCOW,ENNE,58.2088145117134
AT32,SCOW,CRPR,1.32518420774827
AT32,SCOW,DRMN,10.8914589848449
AT32,SCOW,DRMX,-13.0697507818139
AT32,SCOW,DAYS,365.0
AT32,HEIR,ENNE,35.6811838760238
AT32,HEIR,CRPR,0.814330972979539
AT32,HEIR,DRMN,8.2719441855839
AT32,HEIR,DRMX,-12.4079162783759
AT32,HEIR,DAYS,604.714326005589
AT32,CAMF,ENNE,19.9225290103457
AT32,CAMF,CRPR,0.433247400727885
AT32,CAMF,DRMN,2.73648029470768
AT32,CAMF,DRMX,-4.10472044206151
AT32,CAMF,DAYS,191.272868030549
AT32,CAFF,ENNE,20.6713203001428
AT32,CAFF,CRPR,0.449293093416322
AT32,CAFF,DRMN,2.73988052713332
AT32,CAFF,DRMX,-4.10982079069998
AT32,CAFF,DAYS,191.686800658995
AT32,CAMR,ENNE,24.9340935837995
AT32,CAMR,CRPR,0.536606913790781
AT32,CAMR,DRMN,3.26593367647059
AT32,CAMR,DRMX,-4.89890051470588
AT32,CAMR,DAYS,340.0
AT32,CAFR,ENNE,23.9400557240718
AT32,CAFR,CRPR,0.513507963162299
AT32,CAFR,DRMN,3.17671455882353
AT32,CAFR,DRMX,-4.76507183823529
AT32,CAFR,DAYS,340.0
AT32,PIGF,ENNE,19.3735189071096
AT32,PIGF,CRPR,0.417470781759117
AT32,PIGF,DRMN,2.30905135485982
AT32,PIGF,DRMX,-2.77086162583178
